t_s,linear_x,angular_z
19.064,0.25,-0.012197411300730251
19.114,0.25,-0.01266554669662863
19.164,0.25,-0.013061062348668172
19.214,0.25,-0.011870872942309098
19.264,0.25,-0.013444204654449763
19.314,0.25,-0.012972275759019459
19.364,0.25,-0.013432982976481576
19.414,0.25,-0.012635102239532648
19.464,0.25,-0.013437315187444943
19.513,0.25,-0.013368108149045632
19.568,0.25,-0.013734296301106817
19.614,0.25,-0.013266389483624755
19.664,0.25,-0.01274277235719584
19.715,0.25,-0.012672097917749559
19.764,0.25,-0.012338400268026994
19.814,0.25,-0.012164601817788352
19.864,0.25,-0.012241655124154037
19.914,0.25,-0.013306916946157443
19.964,0.25,-0.013341876132123716
20.013,0.25,-0.012371824013739463
20.063,0.25,-0.013365167485516662
20.114,0.25,-0.013162137504777894
20.164,0.25,-0.011032761843145665
20.214,0.25,-0.011207819218545367
20.264,0.25,-0.011075849863446797
20.314,0.25,-0.010974977003564276
20.364,0.25,-0.011129125937753769
20.414,0.25,-0.011268487561115776
20.464,0.25,-0.011646426005747158
20.514,0.25,-0.011223788728344387
20.573,0.25,-0.011554191842900286
20.614,0.25,-0.010960007765482446
20.664,0.25,-0.010878517736000787
20.714,0.25,-0.010872544052546722
20.763,0.25,-0.010942089908309496
20.814,0.25,-0.011094913151364736
20.863,0.25,-0.01193912055023155
20.914,0.25,-0.011642504782039573
20.964,0.25,-0.011801164890020458
21.014,0.25,-0.011368826727653205
21.064,0.25,-0.011457308831564709
21.114,0.25,-0.011221863362521347
21.164,0.25,-0.011608647968356535
21.214,0.25,-0.011910404166846363
21.264,0.25,-0.011476149629917387
21.315,0.25,-0.011242734020233236
21.364,0.25,-0.01073027341364753
21.414,0.25,-0.010785596823071373
21.464,0.25,-0.011323980489767144
21.514,0.25,-0.011309718956926815
21.568,0.25,-0.010560576681388944
21.614,0.25,-0.01109055439338057
21.664,0.25,-0.010929274246313127
21.713,0.25,-0.010498931508817186
21.764,0.25,-0.010958670115314175
21.814,0.25,-0.010859063369197272
21.864,0.25,-0.011876477477477394
21.914,0.25,-0.01285095585904841
21.964,0.25,-0.012254857956593774
22.014,0.25,-0.012434426436433199
22.064,0.25,-0.011194700286879068
22.114,0.25,-0.011230503721281407
22.165,0.25,-0.01175385630931057
22.214,0.25,-0.011788936859147404
22.264,0.25,-0.011631418418288674
22.314,0.25,-0.011563300866735666
22.364,0.25,-0.01121443758499364
22.414,0.25,-0.011208960217583587
22.464,0.25,-0.011221805795225599
22.514,0.25,-0.011511155620820333
22.567,0.25,-0.011910824586410873
22.613,0.25,-0.011598914819052552
22.664,0.25,-0.011723284461910417
22.714,0.25,-0.011163630280398103
22.764,0.25,-0.010965860853298572
22.814,0.25,-0.011056662567067901
22.864,0.25,-0.01119183849724699
22.914,0.25,-0.011061701829320893
22.963,0.25,-0.01132471438026986
23.014,0.25,-0.010921703276943475
23.064,0.25,-0.01185212420067618
23.114,0.25,-0.011008058426287624
23.164,0.25,-0.010929239583108553
23.214,0.25,-0.011159773152142413
23.264,0.25,-0.01162344839006959
23.314,0.25,-0.011179484409879556
23.364,0.25,-0.01157702871006272
23.414,0.25,-0.011160507355904698
23.464,0.25,-0.010776956609238617
23.514,0.25,-0.011213825238105634
23.567,0.25,-0.010640733869750106
23.614,0.25,-0.010811932394244649
23.664,0.25,-0.010819131341458926
23.714,0.25,-0.010871441005941661
23.765,0.25,-0.010249705383576035
23.814,0.25,-0.011777334314001173
23.864,0.25,-0.011313827834873535
23.914,0.25,-0.010884485723742827
23.965,0.25,-0.010617408725025007
24.014,0.25,-0.01115155356564891
24.064,0.25,-0.011186470693994968
24.114,0.25,-0.01128720815722122
24.163,0.25,-0.011823887331032488
24.214,0.25,-0.010884068125471628
24.264,0.25,-0.010961672486384513
24.314,0.25,-0.01106424663345045
24.365,0.25,-0.011307580038680171
24.414,0.25,-0.011121895833782744
24.464,0.25,-0.011601198569773707
24.514,0.25,-0.011378694054271676
24.568,0.25,-0.011452388905650607
24.614,0.25,-0.011593032189503595
24.664,0.25,-0.010786442279366709
24.714,0.25,-0.011068924603602568
24.764,0.25,-0.010946039208920054
24.814,0.25,-0.010632675793180084
24.864,0.25,-0.011218838206459693
24.913,0.25,-0.011982733818124095
24.964,0.25,-0.011655021904741467
25.014,0.25,-0.011354762778845603
25.064,0.25,-0.01082078491818823
25.114,0.25,-0.010757460594691253
25.163,0.25,-0.010734374663130772
25.214,0.25,-0.010832669236899262
25.264,0.25,-0.011321171054710496
25.314,0.25,-0.011310516406670315
25.365,0.25,-0.011074927483163143
25.414,0.25,-0.011352863602110118
25.464,0.25,-0.011139207788571248
25.514,0.25,-0.010983685220729348
25.572,0.25,-0.011395715712048718
25.614,0.25,-0.011743720415741841
25.663,0.25,-0.010980432800677526
25.714,0.25,-0.011210376010568658
25.764,0.25,-0.010770662641943183
25.814,0.25,-0.01094047310853675
25.863,0.25,-0.0107424634400488
25.914,0.25,-0.01132476768068482
25.964,0.25,-0.011204586175632405
26.013,0.25,-0.011142161826381523
26.064,0.25,-0.011385238331392529
26.114,0.25,-0.011603400319116837
26.164,0.25,-0.011228890110047907
26.215,0.25,-0.01103075326279793
26.264,0.25,-0.01102458928148472
26.314,0.25,-0.010486138017133868
26.364,0.25,-0.010934909905061189
